county,20210115,20210129,20210212,20210226,20210312,20210326,20210409,20210423,20210507,20210521,20210604,20210618,20210702,20210716,20210730,20210813,20210827,20210910,20210924,20211008
Bronx,0.002,0.009,0.026,0.048,0.078,0.123,0.168,0.227,0.272,0.322,0.357,0.393,0.420,0.441,0.457,0.473,0.493,0.523,0.551,0.572
Brooklyn,0.003,0.009,0.024,0.045,0.066,0.107,0.164,0.221,0.290,0.352,0.385,0.420,0.445,0.462,0.476,0.490,0.506,0.528,0.549,0.565
Manhattan,0.007,0.020,0.052,0.095,0.130,0.188,0.269,0.352,0.448,0.519,0.555,0.596,0.625,0.641,0.653,0.665,0.678,0.693,0.708,0.719
Queens,0.003,0.012,0.030,0.055,0.081,0.134,0.209,0.280,0.360,0.439,0.486,0.532,0.566,0.588,0.606,0.624,0.644,0.670,0.694,0.711
Staten Island,0.005,0,013,0.040,0.080,0.113,0.154,0.217,0.282,0.342,0.393,0.420,0.452,0.475,0.491,0.504,0.518,0.536,0.560,0.583,0.599
