county,20210115,20210129,20210212,20210226,20210312,20210326,20210409,20210423,20210507,20210521,20210604,20210618,20210702,20210716,20210730,20210813,20210827,20210910,20210924,20211008
Bronx,0.436,0.397,0.363,0.364,0.377,0.394,0.354,0.354,0.351,0.331,0.334,0.354,0.373,0.326,0.331,0.347,0.359,0.364,0.313,0.330
Brooklyn,0.428,0.374,0.324,0.334,0.365,0.390,0.373,0.381,0.354,0.335,0.356,0.356,0.337,0.342,0.325,0.360,0.345,0.338,0.339,0.344
Manhattan,0.439,0.373,0.352,0.367,0.357,0.399,0.377,0.375,0.376,0.357,0.298,0.339,0.355,0.326,0.310,0.317,0.327,0.328,0.317,0.327
Queens,0.453,0.377,0.386,0.381,0.389,0.421,0.386,0.360,0.404,0.373,0.383,0.359,0.344,0.359,0.326,0.3730.337,0.360,0.324,0.353
Staten Island,0.287,0.623,0.701,0.603,0.560,0.587,0.681,0.670,0.642,0.610,0.598,0.585,0.539,0.502,0.504,0.500,0.490,0.493,0.486,0.476
