County,20210101,20210115,20210129,20210212,20210226,20210312,20210326,20210409,20210423,20210507,20210521,20210604,20210618,20210702,20210716,20210730,20210813,20210827,20210910,20210924,20211008
Bronx,1,1,1,0,1,1,0,4,17,2,1,1,1,0,0,0,1,2,1,1
Brooklyn,5,0,4,0,4,9,3,5,10,7,16,7,9,4,3,2,3,10,7,0
Manhattan,4,2,6,6,6,8,16,13,14,17,25,9,16,7,11,6,8,4,17,2
Queens,1,0,1,2,2,10,5,7,3,4,19,5,6,5,3,8,1,1,6,1
Staten Island,0,0,0,1,0,2,2,1,1,0,2,0,5,0,1,1,1,2,0,0
