County,20190101,20190115,20190129,20190212,20190226,20190312,20190326,20190409,20190423,20190507,20190521,20190604,20190618,20190702,20190716,20190730,20190813,20190827,20190910,20190924,20191008,20191022,20191105,20191119,20191203,20191217,20191231,20200114,20200128,20200211,20200225,20200310,20200324,20200407,20200421,20200505,20200519,20200602,20200616,20200630,20200714,20200728,20200811,20200825,20200908,20200922,20201006,20201020,20201103,20201117,20201201,20201215,20201229,20210112,20210126,20210209,20210223,20210309,20210323,20210406,20210420,20210504,20210518,20210601,20210615,20210629,20210713,20210727,20210810,20210824,20210907,20210921,20211005
Bronx,1,0,1,0,3,1,0,0,1,3,1,1,1,2,0,1,0,1,1,2,5,4,2,2,0,0,0,1,3,0,2,0,4,1,1,0,0,0,1,2,1,1,0,1,1,1,2,0,1,0,2,1,1,1,0,1,1,1,0,2,19,2,1,1,0,1,0,0,1,2,1,1
Brooklyn,7,6,9,8,5,8,10,3,5,12,5,7,8,4,6,8,7,5,8,8,6,5,9,11,3,14,9,4,8,3,7,2,4,0,5,7,2,1,1,3,6,6,4,0,2,1,5,5,1,7,3,12,4,1,3,1,2,7,6,5,10,8,15,7,7,6,3,3,3,8,8,1
Manhattan,7,4,7,4,15,11,6,3,4,3,2,6,1,5,6,5,9,5,1,7,4,4,5,2,6,3,4,6,5,5,4,6,2,3,3,3,2,2,3,7,4,1,2,3,1,6,5,3,1,1,2,5,4,2,5,5,8,6,13,14,18,8,28,14,17,6,11,4,8,7,10,9
Queens,0,2,3,4,4,4,4,1,3,2,3,2,5,1,3,5,5,3,6,2,2,5,1,2,2,2,1,2,5,1,3,3,0,0,1,2,1,5,0,2,1,1,3,1,5,5,1,0,2,2,0,1,2,0,1,2,0,11,5,8,3,1,17,9,5,5,5,8,0,2,4,3
Staten Island,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,2,1,2,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,2,0,2,3,0,2,1,2,0,0
